datetime_beginning_utc,datetime_beginning_ept,fuel_type,total_sum_co2,total_sum_so2,total_sum_nox,percent_co2,percent_so2,percent_nox,full_interval
11/2/2024 1:00:00 AM,11/1/2024 9:00:00 PM,Oil,559751.038167,623.582546,284.926018,0.919348,2.769448,1.430310,True
11/2/2024 1:00:00 AM,11/1/2024 9:00:00 PM,Other,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/2/2024 1:00:00 AM,11/1/2024 9:00:00 PM,Other Renewables,909395.253417,1154.305233,1527.683665,1.493612,5.126488,7.668872,True
11/2/2024 1:00:00 AM,11/1/2024 9:00:00 PM,Solar,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/2/2024 1:00:00 AM,11/1/2024 9:00:00 PM,Storage,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/2/2024 1:00:00 AM,11/1/2024 9:00:00 PM,Wind,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/2/2024 12:00:00 AM,11/1/2024 8:00:00 PM,Coal,22948374.423583,21133.733683,11413.942616,36.524936,90.524390,53.913916,True
11/2/2024 12:00:00 AM,11/1/2024 8:00:00 PM,Gas,34823530.916667,277.205642,5979.707035,55.425593,1.187385,28.245229,True
11/2/2024 12:00:00 AM,11/1/2024 8:00:00 PM,Hydro,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/2/2024 12:00:00 AM,11/1/2024 8:00:00 PM,Multiple Fuels,3531477.420500,155.831720,1945.574750,5.620746,0.667491,9.189949,True
11/2/2024 12:00:00 AM,11/1/2024 8:00:00 PM,Nuclear,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/2/2024 12:00:00 AM,11/1/2024 8:00:00 PM,Oil,613692.783000,623.571383,309.790157,0.976762,2.671010,1.463298,True
11/2/2024 12:00:00 AM,11/1/2024 8:00:00 PM,Other,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/2/2024 12:00:00 AM,11/1/2024 8:00:00 PM,Other Renewables,912258.681583,1155.557700,1521.665223,1.451963,4.949724,7.187607,True
11/2/2024 12:00:00 AM,11/1/2024 8:00:00 PM,Solar,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/2/2024 12:00:00 AM,11/1/2024 8:00:00 PM,Storage,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/2/2024 12:00:00 AM,11/1/2024 8:00:00 PM,Wind,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 11:00:00 PM,11/1/2024 7:00:00 PM,Coal,23787117.933167,22086.628611,11840.659229,36.718200,90.987785,53.281729,True
11/1/2024 11:00:00 PM,11/1/2024 7:00:00 PM,Gas,35948972.436167,286.170018,6675.592239,55.491446,1.178902,30.039467,True
11/1/2024 11:00:00 PM,11/1/2024 7:00:00 PM,Hydro,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 11:00:00 PM,11/1/2024 7:00:00 PM,Multiple Fuels,3566582.212417,158.348097,1970.205918,5.505437,0.652329,8.865721,True
11/1/2024 11:00:00 PM,11/1/2024 7:00:00 PM,Nuclear,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 11:00:00 PM,11/1/2024 7:00:00 PM,Oil,608342.677500,622.387492,307.302453,0.939048,2.563979,1.382829,True
11/1/2024 11:00:00 PM,11/1/2024 7:00:00 PM,Other,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 11:00:00 PM,11/1/2024 7:00:00 PM,Other Renewables,871892.746417,1120.744458,1428.978715,1.345868,4.617004,6.430255,True
11/1/2024 11:00:00 PM,11/1/2024 7:00:00 PM,Solar,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 11:00:00 PM,11/1/2024 7:00:00 PM,Storage,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 11:00:00 PM,11/1/2024 7:00:00 PM,Wind,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 10:00:00 PM,11/1/2024 6:00:00 PM,Coal,23236169.965250,21685.599942,11552.345049,36.182556,90.925435,51.037543,True
