datetime_utc,total_sum_co2,total_hourly_emission_co2_kg
2024-10-05 06:00:00,47038980.936917,4703.8980936917
2024-10-05 07:00:00,44924226.45975,4492.422645975
2024-10-05 08:00:00,42920114.381501,4292.0114381501
2024-10-05 09:00:00,43229542.996916,4322.954299691601
2024-10-05 10:00:00,45589554.594,4558.9554594
2024-10-05 11:00:00,47018552.594416,4701.8552594416
2024-10-05 12:00:00,47334252.743751,4733.425274375099
2024-10-05 13:00:00,46801923.741500005,4680.19237415
2024-10-05 14:00:00,47371141.692416996,4737.1141692416995
2024-10-05 15:00:00,46893793.152417,4689.379315241699
2024-10-05 16:00:00,47763600.667334,4776.360066733399
2024-10-05 17:00:00,50711045.273499995,5071.104527349999
2024-10-05 18:00:00,53274563.359416,5327.4563359416
2024-10-05 19:00:00,55338159.788416,5533.8159788416
2024-10-05 20:00:00,57670867.848417,5767.0867848417
2024-10-05 21:00:00,61041367.684833,6104.136768483299
2024-10-05 22:00:00,65301466.677917,6530.146667791701
2024-10-05 23:00:00,64367159.406083,6436.7159406083
2024-10-06 00:00:00,62229796.689665996,6222.9796689666
2024-10-06 01:00:00,58300607.268249996,5830.060726825
2024-10-06 02:00:00,53598585.064418,5359.8585064418
2024-10-06 03:00:00,48966686.167833,4896.6686167833
2024-10-06 04:00:00,45438667.802250996,4543.866780225099
2024-10-06 05:00:00,43107586.962417,4310.7586962417
2024-10-06 06:00:00,41186898.092916004,4118.689809291601
2024-10-06 07:00:00,40067806.376584,4006.7806376584
2024-10-06 08:00:00,38930349.543167,3893.0349543167004
2024-10-06 09:00:00,39187598.986833,3918.7598986833
2024-10-06 10:00:00,39906828.68725,3990.6828687250004
2024-10-06 11:00:00,41624745.9035,4162.47459035
2024-10-06 12:00:00,42302073.397166,4230.2073397166
2024-10-06 13:00:00,41795739.803249,4179.5739803249
2024-10-06 14:00:00,43322564.014834,4332.2564014834
2024-10-06 15:00:00,43900236.997833,4390.0236997833
2024-10-06 16:00:00,44983606.17,4498.360617
2024-10-06 17:00:00,46942114.328334,4694.2114328334
2024-10-06 18:00:00,49367239.698545,4936.7239698545
2024-10-06 19:00:00,52322247.603454,5232.2247603454
2024-10-06 20:00:00,57114101.748819,5711.4101748819
2024-10-06 21:00:00,63012397.327545,6301.2397327545
2024-10-06 22:00:00,67721758.563727,6772.175856372701
